artist,date,genre,style,title,filename,Gender
Moise Kisling,1952,portrait,Post-Impressionism,not identified,51247.jpg,0
Amedeo Modigliani,1915,portrait,Expressionism,Andre Rouveyre,51280.jpg,0
John Singer Sargent,1908,portrait,Realism,"Cora, Countess of Strafford (Cora Smith)",51286.jpg,0
Kazimir Malevich,1934,portrait,Neoclassicism,Portrait of the Artist's Wife,51294.jpg,0
John Singer Sargent,1907,portrait,Realism,Portrait of Lady Sassoon,51383.jpg,0
Nikolay Bogdanov-Belsky,1936,portrait,Realism,Country Boys ,51421.jpg,0
Bela Czobel,1906.0,portrait,Fauvism,Man with Straw Hat,51422.jpg,0
Umberto Boccioni,1913,portrait,Futurism,Dynamism of a man's head,5143.jpg,0
Georges Lemmen,1911,portrait,Post-Impressionism,Profile of a Young Boy,51453.jpg,0
Lucian Freud,1967,portrait,Expressionism,Girl in a Fur Coat,51456.jpg,0
Gustav Klimt,1918,portrait,Art Nouveau (Modern),Baby,51506.jpg,0
Robert Henri,1913.0,portrait,American Realism,Nora ,51540.jpg,0
Zinaida Serebriakova,1945,portrait,Expressionism,Sleeping Katya ,51542.jpg,1
Spyros Papaloukas,1917.0,portrait,Expressionism,Portrait of young man ,51554.jpg,0
Boris Kustodiev,1920.0,portrait,Art Nouveau (Modern),A merchant in a fur coat,51584.jpg,0
Rene Magritte,1930,portrait,Surrealism,Portrait of E.L.T. Mesens,51591.jpg,0
Alexandre Jacovleff,1931.0,portrait,Expressionism,Portrait of Tien Po ,5162.jpg,0
Josef Sima,1933.0,portrait,Surrealism,Portrét Zuzky Zgurišky,51717.jpg,0
Kuzma Petrov-Vodkin,1924,portrait,Symbolism,Garson Parisian cafe ,51719.jpg,0
Umberto Boccioni,1909,portrait,Divisionism,Portrait of a Young Woman,51747.jpg,0
Pyotr Konchalovsky,1945,portrait,Realism,Portrait of the Artist V. G. Dulova,51827.jpg,0
Egon Schiele,1912,portrait,Expressionism,Upright Standing Woman,51882.jpg,0
Jean Paul Lemieux,1961.0,portrait,Expressionism,Portrait,51895.jpg,0
Robert Henri,1909.0,portrait,American Realism,Miss Kaji Waki ,51901.jpg,0
Jury Annenkov,1923,portrait,Expressionism,"Sergei Yesenin, Russian poet",51938.jpg,0
Ottone Rosai,1933,portrait,Expressionism,Ritratto di ragazzo (Ritratto di Donnini),51947.jpg,0
Marc Chagall,1910,portrait,Expressionism,Portrait of artist's sister (Aniuta),51952.jpg,0
Oskar Kokoschka,1913,portrait,Expressionism,Portrait of a Young Girl,51972.jpg,0
Andres de Santa Maria,1913.0,portrait,Impressionism,Niño vestido de verde,51996.jpg,0
Asger Jorn,1962,portrait,Neo-Dada,Poussin (Défiguration),52008.jpg,0
George Pemba,1978,portrait,Social Realism,Reverend John Knox Bokwe,52020.jpg,0
Pyotr Konchalovsky,1910,portrait,Fauvism,"Portrait of the Painter, G. B. Yakulov",5203.jpg,0
Neil Welliver,1965.0,portrait,Expressionism,Couple with Leslie,52068.jpg,0
Amedeo Modigliani,1907,portrait,Expressionism,Woman's Head in Profile,52115.jpg,0
Ivan Albright,1957.0,portrait,Magic Realism,Portrait of Mary Block,52133.jpg,0
John Duncan Fergusson,1950.0,portrait,Fauvism,Woman in Hat,52159.jpg,0
Sir Lawrence Alma-Tadema,1911,portrait,Romanticism,Summer Offering(Young Girl with Roses),52179.jpg,0
Samuel Peploe,1909.0,portrait,Post-Impressionism,Peggy McRae ,52242.jpg,0
Fernand Khnopff,1912,portrait,Symbolism,The Cigarette,52291.jpg,0
Frida Kahlo,1954.0,portrait,Naïve Art (Primitivism),Portrait of Frida's Family,52292.jpg,1
Giovanni Boldini,1902,portrait,Realism,Portrait Of The Artis Lawrence Alexander Harrison,52314.jpg,0
Gustave de Smet,1914.0,portrait,Expressionism,Hoofd Van Een Jonge Vrouw,52318.jpg,0
Aleksandra Ekster,1928.0,portrait,Cubo-Futurism,Woman with birds,52324.jpg,1
Vasily Surikov,1911,portrait,Realism,Portrait of A. A. Dobrinskaya,52334.jpg,0
Lucian Freud,1985,portrait,Expressionism,Girl in Striped Nightshirt,52371.jpg,0
Gosta Adrian-Nilsson,1917.0,portrait,Cubism,Soldat,52379.jpg,0
Zinaida Serebriakova,1942,portrait,Expressionism,The Countess of Saint Hippolyte ,52385.jpg,1
Boris Kustodiev,1924.0,portrait,Realism,Shoemaker,52398.jpg,0
Suzanne Valadon,1913,portrait,Post-Impressionism,Portrait of Marie Coca and her Daughter,52400.jpg,1
Henri Matisse,1917,portrait,Post-Impressionism,Head of Lorette with Curls,52477.jpg,0
Konstantin Yuon,1937,portrait,Realism,Portrait of pilot-woman M.S. Zimova,525.jpg,0
Nikolay Bogdanov-Belsky,1907,portrait,Realism,Portrait of an Unknown Lady in a Black Kerchief with a Lacy Collar,52506.jpg,0
George Stefanescu-Ramnic ,1959,portrait,Post-Impressionism,Selfportrait ( Râmnic ),5252.jpg,0
Carl Larsson,1908,portrait,Art Nouveau (Modern),Selma Lagerlöf,52536.jpg,0
Egon Schiele,1914,portrait,Expressionism,Female Model in Bright Red Jacket and Pants,52539.jpg,0
Pablo Picasso,1908,portrait,Naïve Art (Primitivism),Farm woman,52553.jpg,0
Yiannis Tsaroychis,1965,portrait,Expressionism,"Two men with butterfly wings , black shoes",52569.jpg,0
Xu Beihong,1939.0,portrait,Realism,A Portrait of Miss Jenny. ,52588.jpg,0
Pierre Bonnard,1910,portrait,Intimism,Natanson Girls,5260.jpg,0
Boris Kustodiev,1922.0,portrait,Realism,Portrait of I. Zolotarevsky,52601.jpg,0
Ilya Repin,1913.0,portrait,Realism,Portrait of Vladimir Bekhterev,52607.jpg,0
Pyotr Konchalovsky,1911,portrait,Expressionism,Family Portrait (against Chinese panel),5261.jpg,0
Robert Henri,1916.0,portrait,American Realism,Young Buck of the Tesuque Pueblo,52664.jpg,0
Suzanne Valadon,1936,portrait,Post-Impressionism,Geneviève Camax-Zoegger ,52672.jpg,1
Matej Sternen,1940.0,portrait,Impressionism,Portrait Ing. K,52681.jpg,0
Childe Hassam,1906,portrait,Impressionism,The Victorian Chair,52690.jpg,0
Felix Vallotton ,1906,portrait,Realism,Alfred Athis (Pseudonym of Alfred Natanson),52734.jpg,0
Moise Kisling,1916,portrait,Post-Impressionism,Portrait of Jean Cocteau,52735.jpg,0
Grant Wood,1929.0,portrait,Regionalism,"John B. Turner, Pioneer ",52751.jpg,0
Pyotr Konchalovsky,1930,portrait,Post-Impressionism,Portrait of Arfenik Artemevna Tadeo,52779.jpg,0
Fernand Leger,1950.0,portrait,Cubism,Head constructor ,52810.jpg,0
Ilya Repin,1907.0,portrait,Realism,Portrait of a Woman (Olga Shoofs),52863.jpg,0
Robert Henri,1926.0,portrait,American Realism,Mary Ann (Mollie),52908.jpg,0
Alexej von Jawlensky,1911,portrait,Expressionism,Hélène,52937.jpg,0
Corneliu Baba,1974.0,portrait,Expressionism,Portrait (Harlequin),52964.jpg,0
William-Adolphe Bouguereau,1902,portrait,Realism,Meditation,53004.jpg,0
Lucian Freud,1961,portrait,Expressionism,Figure with Bare Arms,53022.jpg,0
Paul Feeley,1932.0,portrait,Realism,Portrait of Samuel L. M. Barlow,53038.jpg,0
Konstantin Somov,1926,portrait,Symbolism,Portrait of B. Popova (Paris),53081.jpg,0
Princess Fahrelnissa Zeid,1940.0,portrait,Expressionism,Antique portrait,5311.jpg,1
Jean Metzinger,1911.0,portrait,Analytical Cubism,Le goûter (Tea Time),53115.jpg,0
Vasily Surikov,1907,portrait,Realism,Portrait of E. N. Sabashnikova,53125.jpg,0
Gustav Klimt,1902,portrait,Art Nouveau (Modern),Portrait of Emilie Flöge,53128.jpg,0
Zinaida Serebriakova,1931,portrait,Art Deco,Moroccan women ,53148.jpg,1
Zinaida Serebriakova,1923,portrait,Art Nouveau (Modern),Katya at the kitchen table ,53170.jpg,1
Grant Wood,1930.0,portrait,Regionalism,American Gothic,53178.jpg,0
Robert Henri,1916.0,portrait,American Realism,Boy with Plaid Scarf ,53213.jpg,0
Richard Gerstl,1905,portrait,Post-Impressionism,The Fey Sisters (Karoline & Pauline),5324.jpg,0
John Singer Sargent,1902,portrait,Realism,The Misses Hunter,53252.jpg,0
Amadeo de Souza-Cardoso,1913,portrait,Futurism,Head,53258.jpg,0
Guy Rose,1910,portrait,Impressionism,Five O'Clock,53304.jpg,0
Pablo Picasso,1938,portrait,Surrealism,The sailor,53347.jpg,0
Pablo Picasso,1936,portrait,Surrealism,Bust of woman,53364.jpg,0
Konstantin Somov,1909,portrait,Realism,Portrait of M. Kuzmin,53365.jpg,0
Francisc Sirato,1947.0,portrait,Impressionism,Young Woman in Interior,53409.jpg,0
Oskar Kokoschka,1910,portrait,Expressionism,Conte Verona,53419.jpg,0
Tsuguharu Foujita,1956.0,portrait,Magic Realism,Jeune fille à la cage aux oiseaux,53456.jpg,0
Amedeo Modigliani,1919,portrait,Expressionism,Pink Blouse,53457.jpg,0
Paul Jacoulet,1958.0,portrait,Ukiyo-e,"Le Bol De Lait Aino. Hokkaido, Japon",53472.jpg,0
Zinaida Serebriakova,1932,portrait,Expressionism,The Jewish girl from Sefrou ,53473.jpg,1
Richard Gerstl,1907,portrait,Pointillism,Woman with Feathered Hat,53504.jpg,0
Istvan Nagy,1915.0,portrait,Post-Impressionism,Little boy,53514.jpg,0
Fernand Leger,1927.0,portrait,Cubism,Three girls on red background (composition with three women),53520.jpg,0
Le Pho,1958.0,portrait,Post-Impressionism,Portrait of a Beauty Among Peonies,53530.jpg,0
Arshile Gorky,1929,portrait,Post-Impressionism,Portrait of Master Bill,5354.jpg,0
Jose Clemente Orozco,1949,portrait,Muralism,Father Hidalgo,53605.jpg,0
Ivan Albright,1927.0,portrait,Magic Realism,The Lineman ,53615.jpg,0
Pablo Picasso,1938,portrait,Surrealism,Man with a straw hat and an ice-cream,53623.jpg,0
Egon Schiele,1909,portrait,Art Nouveau (Modern),Portrait of Gerti Schiele,53625.jpg,0
Torii Kotondo,1933.0,portrait,Shin-hanga,Combing the Hair,53632.jpg,0
Tamara de Lempicka,1927,portrait,Art Deco,Portrait of S.A.I. Grand Duke Gavriil Kostantinovic,53633.jpg,1
Egon Schiele,1918,portrait,Expressionism,Young Boy,5372.jpg,0
Albert Anker,1906.0,portrait,Realism,Mädchen in Winterlandschaft,53721.jpg,0
Max Ernst,1924,portrait,Surrealism,Gala Éluard,53722.jpg,0
Amedeo Modigliani,1919,portrait,Expressionism,Portrait of Leopold Zborowski,5376.jpg,0
John Singer Sargent,1904,portrait,Realism,"Charles Stewart, Sixth Marquess of Londonderry, Carrying the Great Sword of State at the Coronat",53767.jpg,0
Konstantin Somov,1910,portrait,Symbolism,Portrait of F. Sologub,53773.jpg,0
Chaim Soutine,1924,portrait,Expressionism,Desolation,53775.jpg,0
Alekos Kontopoulos ,1931.0,portrait,Social Realism,Portrait of a lady,53797.jpg,0
Ferdinand Hodler,1911,portrait,Art Nouveau (Modern),Portrait of Willy Russ,53800.jpg,0
Lajos Tihanyi,1927.0,portrait,Cubism,Portrait of Tristan Tzara,5383.jpg,0
Max Pechstein,1925.0,portrait,Fauvism,Modellpause,53859.jpg,0
Alice Neel,1965,portrait,Expressionism,Mary Shoemaker,53873.jpg,1
Raphael Kirchner,1901.0,portrait,Art Nouveau (Modern),Portraits of Viennese Ladies,53913.jpg,0
Pierre-Auguste Renoir,1918,portrait,Impressionism,Lucienne,53922.jpg,0
Amedeo Modigliani,1918,portrait,Expressionism,Portrait of Jeanne Hebuterne in a Blue Chair,53939.jpg,0
Alphonse Mucha,1920,portrait,Art Nouveau (Modern),Girl with Loose Hair and Tulips,53953.jpg,0
John French Sloan,1915,portrait,New Realism,Pink and Blue,540.jpg,0
Paul Jacoulet,1940.0,portrait,Ukiyo-e,"Les Enfants Aux Yeux Jaunes. Ohlol, Est Carolines",5400.jpg,0
Zinaida Serebriakova,1924,portrait,Expressionism,Tata in dance costume ,5407.jpg,1
Augustus John,1912.0,portrait,Post-Impressionism,David and Caspar,54082.jpg,0
Zinaida Serebriakova,1911,portrait,Art Nouveau (Modern),Portrait of E.K. Lancere ,54113.jpg,1
Theo van Rysselberghe,1918,portrait,Post-Impressionism,Madame van Rysselberghe in a Chedkered Bow Tie,54119.jpg,0
Enrique Grau,1990.0,portrait,Neo-Figurative Art,In memoriam,54121.jpg,0
Pablo Picasso,1943,portrait,Surrealism,Woman in green,54193.jpg,0
Jean Metzinger,1950.0,portrait,Cubism,"Femme assise, en robe bleue ",54194.jpg,0
Konstantin Yuon,1926,portrait,Realism,Portrait of the poet Grigory Shirman,54238.jpg,0
Marevna (Marie Vorobieff),1956.0,portrait,Cubism,Portrait of Ilya Ehrenburg ,54290.jpg,1
Andy Warhol,1973,portrait,Pop Art,Marella Agnelli,54296.jpg,0
William Merritt Chase,1902,portrait,Impressionism,Portrait of Elbert Hubbard (The Roycrafter),54333.jpg,0
Kuzma Petrov-Vodkin,1938,portrait,Symbolism,The girl in the woods ,54343.jpg,0
Boris Grigoriev,1938.0,portrait,Expressionism,Girl From California,5437.jpg,0
Konstantin Somov,1906,portrait,Realism,Portrait of V. Ivanov,54378.jpg,0
Pauline Boty,1963.0,portrait,Pop Art,The Only Blonde in the World,54461.jpg,1
William Merritt Chase,1910,portrait,Impressionism,Miss Mary Margaret Sweeny,54466.jpg,0
George Bouzianis,1935,portrait,Expressionism,Lady with Umbrella,54531.jpg,0
Tsuguharu Foujita,1950.0,portrait,Magic Realism,Little Girl with Red Bow by the Fireplace,54538.jpg,0
Mikhail Nesterov,1934,portrait,Realism,Portrait of Ivan Shadr ,54546.jpg,0
Ilya Repin,1920.0,portrait,Realism,Portrait of A. Gallen Kallela,54593.jpg,0
Alberto Magnelli,1914.0,portrait,Fauvism,Man Smoking,54628.jpg,0
Patrick Procktor,1968.0,portrait,Pop Art,Two Chinese Generals,54647.jpg,0
Lucian Freud,1985,portrait,Expressionism,Two Irishmen in W11,54670.jpg,0
Robert Delaunay,1906,portrait,Post-Impressionism,Man with a Tulip (also known as Portrait of Jean Metzinger),54677.jpg,0
Andre Derain,1907,portrait,Expressionism,Madame Derain in Green,54716.jpg,0
Tom Roberts,1912.0,portrait,Impressionism,Grey Lady (Mrs. Ince) ,54736.jpg,0
Pablo Picasso,1927,portrait,Cubism,Seated woman,54738.jpg,0
David Burliuk,1925,portrait,Futurism,Vladimir Mayakovsky,54766.jpg,0
Emil Nolde,1921,portrait,Expressionism,Indonesian couple,54771.jpg,0
Viktor Vasnetsov,1909.0,portrait,Symbolism,Portrait of Zinaida Median ,54800.jpg,0
Raphael Kirchner,1916.0,portrait,Art Nouveau (Modern),Melisande,54813.jpg,0
Lucian Freud,1997,portrait,Expressionism,Gaz,54814.jpg,0
Ilya Mashkov,1910,portrait,Fauvism,Portrait of Evguenia Kirkaldi ,54858.jpg,0
Alexej von Jawlensky,1911,portrait,Expressionism,Seated Woman,54871.jpg,0
Aleksandra Ekster,1934.0,portrait,Art Deco,Woman with fish,5490.jpg,1
Theophilus Brown,1990.0,portrait,Neo-Expressionism,Woman in a Yellow Dress,54905.jpg,0
Rene Magritte,1920,portrait,Post-Impressionism,Portrait of Pierre Bourgeois,54914.jpg,0
Valentin Serov,1907.0,portrait,Impressionism,Portrait of the Writer Leonid Andreev,54925.jpg,0
Thomas Eakins,1904,portrait,Realism,Portrait of Frank B. A. Linton,54927.jpg,0
Fernand Leger,1954.0,portrait,Naïve Art (Primitivism),The woman and the flower,54936.jpg,0
Egon Schiele,1917,portrait,Expressionism,Head of Dr. Fritsch,54958.jpg,0
Zinaida Serebriakova,1932,portrait,Expressionism,Girl in Pink ,54965.jpg,1
Georges Rouault,1937.0,portrait,Expressionism,L'Quais,54982.jpg,0
Walter Sickert,1929,portrait,Impressionism,The Servant of Abraham,54989.jpg,0
Theo van Rysselberghe,1926,portrait,Post-Impressionism,Roger Martin du Gard,54993.jpg,0
Henri Matisse,1906,portrait,Expressionism,The Young Sailor II,55020.jpg,0
Lovis Corinth,1924.0,portrait,Expressionism,Carmencita,55030.jpg,0
Alexej von Jawlensky,1917,portrait,Expressionism,Mystical Head,55051.jpg,0
Zinaida Serebriakova,1934,portrait,Expressionism,Hostess bistro Mon ABBE ,55097.jpg,1
William Scott,1939,portrait,Expressionism,Louise,55099.jpg,0
Prudence Heward,1942,portrait,Expressionism,Ann,55216.jpg,1
Roger Raveel,1948.0,portrait,Pop Art,Zulma,55226.jpg,0
Paul Jacoulet,1947.0,portrait,Ukiyo-e,"L'Attente. Celebe, Menado",55252.jpg,0
Felice Casorati,1922.0,portrait,Art Nouveau (Modern),Silvana Cenni,55359.jpg,0
Boris Kustodiev,1920.0,portrait,Art Nouveau (Modern),Vegetables Merchant ,5539.jpg,0
Paul Jacoulet,1947.0,portrait,Ukiyo-e,L'Homme Accroupi. Chinois,55404.jpg,0
Boris Kustodiev,1920.0,portrait,Art Nouveau (Modern),Waiter,55406.jpg,0
Carel Willink,1946.0,portrait,Magic Realism,Girl with a Small Sheep (Girl in Renaissance Costume),55552.jpg,0
George Segal,1985.0,portrait,Expressionism,Woman in Red Kimono,55556.jpg,0
Egon Schiele,1911,portrait,Expressionism,Child in Black,55566.jpg,0
William James Glackens,1914,portrait,Impressionism,Café Lafayette (Portrait of Kay Laurel) ,55578.jpg,0
Marevna (Marie Vorobieff),1956.0,portrait,Cubism,Portrait of Marc Chagall ,55586.jpg,1
Pablo Picasso,1902,portrait,Expressionism,Woman in blue,55589.jpg,0
August Macke,1909,portrait,Expressionism,Portrait with apples (Portrait of the Artist's Wife),55593.jpg,0
Edvard Munch,1909.0,portrait,Expressionism,Professor Daniel Jacobson,55596.jpg,0
Pablo Picasso,1901,portrait,Post-Impressionism,Harlequin leaning,55649.jpg,0
Mstislav Dobuzhinsky,1906,portrait,Expressionism,Man with Spectacles. Portrait of the Art Critic and Poet Constantin Sunnerberg.,55658.jpg,0
Asger Jorn,1962,portrait,Neo-Dada,Souriez Rue Froide (Defiguration),55661.jpg,0
Ernst Ludwig Kirchner,1932,portrait,Expressionism,Portrait of Art Dealer Manfred Shames,55691.jpg,0
Andy Warhol,1972,portrait,Pop Art,Mao,55692.jpg,0
Matej Sternen,1904.0,portrait,Impressionism,The Red Parasol,55707.jpg,0
Marc Chagall,1967,portrait,Naïve Art (Primitivism),The Blue Face ,55709.jpg,0
Amedeo Modigliani,1916,portrait,Expressionism,Seated Algerian Almaiisa,55710.jpg,0
Amedeo Modigliani,1919,portrait,Expressionism,Young Man with Cap,5573.jpg,0
Grant Wood,1936.0,portrait,Regionalism,Sentimental ,55749.jpg,0
Karl Schmidt-Rottluff,1919,portrait,Expressionism,Dr Rosa Schapire,55751.jpg,0
Giovanni Boldini,1906,portrait,Realism,Portrait of Alfred Beit,55775.jpg,0
Niki de Sainte Phalle,1999.0,portrait,Surrealism,Do You Like My Brain?,55780.jpg,1
Julius LeBlanc Stewart,1908,portrait,Realism,Portrait of Mrs Francis Stanton Blake ,55801.jpg,0
Karl Schmidt-Rottluff,1919,portrait,Expressionism,Portrait of Emy,55827.jpg,0
Boris Kustodiev,1902.0,portrait,Realism,Portrait of Ilja Repin  ,55839.jpg,0
Robert Henri,1917.0,portrait,American Realism,Indian Girl of San Ildefonso ,55866.jpg,0
Augustus John,1940.0,portrait,Post-Impressionism,Scottish-Canadian Soldier,55869.jpg,0
Frida Kahlo,1931.0,portrait,Naïve Art (Primitivism),Portrait of Dr. Leo Eloesser,55880.jpg,1
Lucian Freud,1999,portrait,Expressionism,Head of Ali,55885.jpg,0
George Luks,1929,portrait,New Realism,A Clown,55890.jpg,0
Egon Schiele,1911,portrait,Expressionism,Two Little Girls,55901.jpg,0
Tsuguharu Foujita,1918.0,portrait,Expressionism,Young Woman on a Pink Canape ,55929.jpg,0
Tamara de Lempicka,1935,portrait,Art Deco,Beggar with Mandolin,55969.jpg,1
Raphael Kirchner,1916.0,portrait,Art Nouveau (Modern),Medallion,56008.jpg,0
Amedeo Modigliani,1915,portrait,Expressionism,Woman Seated by a Fireplace,56030.jpg,0
Stanley Spencer,1955,portrait,Neo-Romanticism,Portrait of Sybyl Williams,56035.jpg,0
Christian Schad,1942.0,portrait,Magic Realism,Bettina,56058.jpg,0
George Stefanescu-Ramnic ,2000,portrait,Expressionism,Verona,56061.jpg,0
Richard Lindner,1974.0,portrait,Mechanistic Cubism,Ludwig II,56076.jpg,0
Christian Schad,1930.0,portrait,Magic Realism,Fräulein Mulino von Kluck ,56082.jpg,0
Ernst Ludwig Kirchner,1909,portrait,Japonism,Dodo with a Japanese Umbrella,56090.jpg,0
Andy Warhol,1983,portrait,Pop Art,Ingrid Bergman (as Herself),56094.jpg,0
Kaoru Kawano,1950,portrait,Sōsaku hanga,Dream,56114.jpg,0
Amedeo Modigliani,1918,portrait,Expressionism,Young Girl Seated,56116.jpg,0
Pablo Picasso,1901,portrait,Post-Impressionism,Woman dressed in blue,56160.jpg,0
Columbano Bordalo Pinheiro,1917,portrait,Realism,Retrato de Teófilo Braga,56162.jpg,0
Theo van Rysselberghe,1907,portrait,Post-Impressionism,Maria van Rysselberghe in Jersey,56165.jpg,0
Zinaida Serebriakova,1962,portrait,Expressionism,A portrait of Yvette Choviret,56186.jpg,1
Theo van Doesburg,1906,portrait,Post-Impressionism,Portrait of Christian Leibbrandt,56205.jpg,0
Philip de Laszlo,1917.0,portrait,Impressionism,The Son of the Artist,56216.jpg,0
Oskar Kokoschka,1911,portrait,Expressionism,Egon Wellesz,56221.jpg,0
Oskar Kokoschka,1901,portrait,Expressionism,Portrait of Karl Kraus,56222.jpg,0
Francisc Sirato,1926.0,portrait,Impressionism,Peasant Women from Dolj,56267.jpg,0
Pablo Picasso,1904,portrait,Post-Impressionism,Portrait of Suzanne Bloch,5634.jpg,0
Boris Kustodiev,1915.0,portrait,Realism,Portrait of the Artist Igor Grabar,56350.jpg,0
Mikhail Nesterov,1925,portrait,Realism,Portrait of Pavel Korin,56359.jpg,0
John Singer Sargent,1902,portrait,Realism,The Acheson Sisters ,56367.jpg,0
Fernand Leger,1920.0,portrait,Cubism,The Man with the cane,56379.jpg,0
Nikolay Bogdanov-Belsky,1914,portrait,Realism,Leo Tolstoy amoung the Peasants,56398.jpg,0
Vladimir Makovsky,1916,portrait,Realism,Young Lady Looking into a Mirror,56496.jpg,0
Lucian Freud,1991,portrait,Expressionism,Leigh Bowery,5650.jpg,0
Leon Underwood,1926.0,portrait,Expressionism,The Ember (Italian Immigrant),56502.jpg,0
Alexej von Jawlensky,1911,portrait,Fauvism,Der violette Turban,56511.jpg,0
Stefan Luchian,1905.0,portrait,Impressionism,Peasant Woman with Yellow Headscarf,56522.jpg,0
Vanessa Bell,1912.0,portrait,Cloisonnism,Virginia Woolf,56526.jpg,1
Edouard Vuillard,1920,portrait,Post-Impressionism,Black Dress,56551.jpg,0
Richard Gerstl,1903,portrait,Post-Impressionism,Waldemar Unger II,56561.jpg,0
John Singer Sargent,1903,portrait,Realism,Mrs Fiske Warren (Gretchen Osgood) and her Daughter Rachel,56563.jpg,0
Nikolay Bogdanov-Belsky,1912,portrait,Realism,Country Friends,56574.jpg,0
Edvard Weie,1910,portrait,Post-Impressionism,"Interior with Artist's Sister, Emma Weie",56585.jpg,0
Kuzma Petrov-Vodkin,1918,portrait,Symbolism,Arrangement ,56597.jpg,0
Robert Henri,1913.0,portrait,American Realism,Irish Girl (Mary Lavelle) ,56647.jpg,0
Amedeo Modigliani,1913,portrait,Expressionism,Portrait de Paul Alexanders,56650.jpg,0
Paul Klee,1935,portrait,Surrealism,Evening shows,56683.jpg,0
Valentin Serov,1901.0,portrait,Realism,Portrait of Grand Duke Georgy Mikhailovich,56689.jpg,0
Alice Neel,1972,portrait,Expressionism,Dana Gordon,56716.jpg,1
Marcel Duchamp,1912,portrait,Expressionism,Portrait of Gustave Candel's Mother,56722.jpg,0
Lilla Cabot Perry,1916.0,portrait,Impressionism,Edwin Arlington Robinson ,56755.jpg,1
Lilla Cabot Perry,1924.0,portrait,Impressionism,Thomas Sergeant Perry Reading a Newspaper,56769.jpg,1
Helene Schjerfbeck,1941.0,portrait,Expressionism,Girl from Loviisa,56814.jpg,1
Jozsef Rippl-Ronai,1913.0,portrait,Art Nouveau (Modern),Aunt Manci  ,56823.jpg,0
Walter Battiss,1945.0,portrait,Impressionism,"Portrait of the artist's wife, the artist Grace Anderson",56824.jpg,0
Rene Magritte,1958,portrait,Surrealism,Harry Torczyner (Justice has been done),56840.jpg,0
Theo van Rysselberghe,1907,portrait,Post-Impressionism,Portrait of Mme Van Rysselberghe,56845.jpg,0
Jean Metzinger,1913.0,portrait,Cubism,La Femme à l'Éventail (Woman with Fan) ,56846.jpg,0
Marie Laurencin,1941.0,portrait,Expressionism,Woman with Turban,56859.jpg,1
Augustus John,1908.0,portrait,Post-Impressionism,David and Dorelia in Normandy,56909.jpg,0
Howard Finster,1988.0,portrait,Art Brut,Youth of Abraham,56939.jpg,0
Amedeo Modigliani,1915,portrait,Expressionism,Beatrice Hastings,56940.jpg,0
David Alfaro Siqueiros,1931,portrait,Expressionism,Hart Crane,56977.jpg,0
Ivan Milev,1924.0,portrait,Art Nouveau (Modern),Portrait of Anna Kamenova,56978.jpg,0
Andre Masson,1940.0,portrait,Surrealism,Goethe or the metamorphosis of plants ,56991.jpg,0
Pablo Picasso,1937,portrait,Surrealism,Portrait of Marie-Thérèse Walter ,57004.jpg,0
Amedeo Modigliani,1910,portrait,Expressionism,Joseph Levi,57065.jpg,0
Torii Kotondo,1933.0,portrait,Shin-hanga,Preparing Her Sash (pink variant),57083.jpg,0
Lucian Freud,1986,portrait,Expressionism,"The Painter's Brother, Stephen",57104.jpg,0
Salvador Dali,1924,portrait,Expressionism,Portrait of My Sister (original State),57117.jpg,0
Kazimir Malevich,1932,portrait,Suprematism,Portrait,57130.jpg,0
Anders Zorn,1907,portrait,Realism,Hugo Reisinger,57139.jpg,0
Christian Schad,1928.0,portrait,Magic Realism,Portrait of Egon Erwin ,57145.jpg,0
Konstantin Somov,1909,portrait,Realism,Portrait of Mikhail Kuzmin,57161.jpg,0
Boris Grigoriev,1923.0,portrait,Expressionism,The Harlot of Marseilles,57165.jpg,0
Valentin Serov,1906.0,portrait,Impressionism,Portrait of E.A. Krasilschikova,57194.jpg,0
Pablo Picasso,1954,portrait,Cubism,Jacqueline with flowers,57219.jpg,0
Martiros Saryan,1946,portrait,Expressionism,Portrait of poet  Anna Akhmatova,57227.jpg,0
Otto Dix,1922.0,portrait,Verism,Portrait of Dr Heinrich Stadelmann,5725.jpg,0
Paula Modersohn-Becker,1908,portrait,Expressionism,"Still life, child's head with a white cloth",5729.jpg,1
Arthur Segal,1935.0,portrait,Realism,Portrait of a Man Against the Light,57311.jpg,0
Boris Kustodiev,1924.0,portrait,Art Nouveau (Modern),"Masha, the daughter of merchant",57389.jpg,0
Boris Kustodiev,1918.0,portrait,Art Nouveau (Modern),Portrait of F.F. Notgaft (Collector),574.jpg,0
Prudence Heward,1936,portrait,Expressionism,Girl in Yellow Sweater,57457.jpg,1
Salvador Dali,1925,portrait,Realism,Figure at a Window,57464.jpg,0
Zinaida Serebriakova,1921,portrait,Art Nouveau (Modern),Portrait of A.I. Kunina,5747.jpg,1
Pablo Picasso,1929,portrait,Surrealism,Head,57528.jpg,0
Zinaida Serebriakova,1934,portrait,Expressionism,Portrait of the artist's daughter,57657.jpg,1
Lucian Freud,1954,portrait,Expressionism,A Woman Painter,57695.jpg,0
Stefan Dimitrescu,1926.0,portrait,Post-Impressionism,The Cook,57706.jpg,0
Salvador Dali,1921,portrait,Post-Impressionism,Portrait of My Father,57723.jpg,0
Gustav Klimt,1902,portrait,Symbolism,Portrait of a Girl,57740.jpg,0
